timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,fee,script_type,country,asn
2026-08-17T13:36:29,10.200.0.5,172.23.8.205,9150,80,tx_ba567cc80193fd91570efe1a,"[""bc1qanom10"",""bc1qanom11"",""bc1qanom03"",""bc1qanom07"",""bc1qanom11"",""bc1qanom07""]","[""bc1qanom12"",""bc1qanom09"",""bc1qanom06"",""bc1qanom09"",""bc1qanom08"",""bc1qanom09"",""bc1qanom05"",""bc1qanom01"",""bc1qanom01""]","[2.03314975,2.02010734,2.14260369,2.00839238,2.0699862,1.95405484]","[1.39690754,1.37639266,1.4234748,1.37590494,1.30018723,1.39932582,1.40384079,1.30104022,1.3452642]",0.06976841,P2PKH,RU,AS45117
2026-08-12T08:57:31,10.200.0.1,172.28.41.21,9150,18333,tx_d1a101a0112bbe11c0afd32e,"[""bc1qanom03"",""bc1qanom03"",""bc1qanom09"",""bc1qanom09"",""bc1qanom06"",""bc1qanom09"",""bc1qanom11"",""bc1qanom09"",""bc1qanom03"",""bc1qanom08"",""bc1qanom07""]","[""bc1qanom12"",""bc1qanom09"",""bc1qanom06"",""bc1qanom10"",""bc1qanom06"",""bc1qanom06"",""bc1qanom08"",""bc1qanom03"",""bc1qanom07"",""bc1qanom12"",""bc1qanom12"",""bc1qanom08"",""bc1qanom11"",""bc1qanom09""]","[3.9284008,4.04923464,3.8804565,3.89933313,3.83065285,3.70652396,3.75744302,3.68781101,4.07961093,3.87283147,4.0012075]","[3.13720771,3.1970187,2.87691294,2.95534411,3.1298761,2.91924422,3.02013452,3.04204864,3.01921442,2.88328969,2.92445933,3.07863395,2.94755386,2.94375229]",0.02652864,P2TR,SG,AS14061
2026-08-17T16:25:59,10.200.0.8,172.24.231.47,1080,443,tx_41168b18c1a405e890f08452,"[""bc1qanom08"",""bc1qanom11"",""bc1qanom04"",""bc1qanom06"",""bc1qanom12"",""bc1qanom03"",""bc1qanom10"",""bc1qanom05"",""bc1qanom08"",""bc1qanom05""]","[""bc1qanom05"",""bc1qanom12"",""bc1qanom09"",""bc1qanom09"",""bc1qanom09"",""bc1qanom09"",""bc1qanom11"",""bc1qanom10"",""bc1qanom10"",""bc1qanom07"",""bc1qanom05"",""bc1qanom12"",""bc1qanom04"",""bc1qanom08"",""bc1qanom09""]","[0.00716826,0.0069091,0.00714344,0.00713281,0.00751681,0.00755256,0.0076314,0.00740493,0.00729944,0.00751922]","[1.626e-05,1.736e-05,1.767e-05,1.691e-05,1.593e-05,1.683e-05,1.582e-05,1.752e-05,1.715e-05,1.68e-05,1.598e-05,1.628e-05,1.581e-05,1.667e-05,1.655e-05]",0.07297904,P2PKH,GB,AS16509
2026-08-01T23:05:23,10.200.0.2,172.27.18.201,9050,18333,tx_eeba176b3e8b9b087d9227b5,"[""bc1qanom05"",""bc1qanom10"",""bc1qanom04"",""bc1qanom11"",""bc1qanom02"",""bc1qanom09"",""bc1qanom03""]","[""bc1qanom05"",""bc1qanom04"",""bc1qanom04"",""bc1qanom01"",""bc1qanom07"",""bc1qanom12"",""bc1qanom01"",""bc1qanom01"",""bc1qanom06"",""bc1qanom06"",""bc1qanom03"",""bc1qanom04"",""bc1qanom11"",""bc1qanom01"",""bc1qanom02"",""bc1qanom02"",""bc1qanom02"",""bc1qanom01"",""bc1qanom01"",""bc1qanom12""]","[9.95372584,9.77282197,10.20913164,10.09414585,9.26704339,10.01143608,9.66048417]","[3.57534634,3.27413227,3.59337859,3.26911434,3.38742731,3.47135137,3.44271452,3.50098413,3.35907691,3.49088956,3.32682148,3.51188772,3.25631726,3.5197703,3.41829198,3.24696565,3.35409219,3.4181223,3.33243753,3.27394094]",0.0797948,P2PKH,RU,AS14061
2026-08-29T06:56:45,10.200.0.1,172.26.3.163,9150,18333,tx_3f806d4617a7afcf22932b41,"[""bc1qanom01"",""bc1qanom01"",""bc1qanom06"",""bc1qanom10"",""bc1qanom11"",""bc1qanom12"",""bc1qanom12"",""bc1qanom02"",""bc1qanom05"",""bc1qanom06""]","[""bc1qanom08"",""bc1qanom01"",""bc1qanom05"",""bc1qanom08"",""bc1qanom09"",""bc1qanom10"",""bc1qanom12"",""bc1qanom01"",""bc1qanom05"",""bc1qanom07""]","[0.67882026,0.70429706,0.71479683,0.66125398,0.68551233,0.71600172,0.71571093,0.65787186,0.64579008,0.6686533]","[0.7182569,0.67649767,0.70620004,0.72142107,0.66916622,0.66207788,0.68715065,0.71861402,0.6891202,0.68685229]",0.01013554,P2SH,NL,AS7922
2026-08-11T13:01:32,10.200.0.3,172.25.9.217,4145,80,tx_13584982113377420f944687,"[""bc1qanom09"",""bc1qanom06"",""bc1qanom03"",""bc1qanom06"",""bc1qanom05"",""bc1qanom05"",""bc1qanom10"",""bc1qanom07""]","[""bc1qanom11"",""bc1qanom01"",""bc1qanom12"",""bc1qanom09"",""bc1qanom03"",""bc1qanom11"",""bc1qanom01"",""bc1qanom05"",""bc1qanom01"",""bc1qanom03"",""bc1qanom03"",""bc1qanom03"",""bc1qanom02"",""bc1qanom08"",""bc1qanom11""]","[9.39565829,9.20888549,9.48515966,9.65917021,9.42749058,9.79391706,10.12883755,9.79994757]","[4.93314368,5.34836098,5.27915064,5.45413759,4.98485496,5.14096429,5.42874707,5.14221437,5.37820533,5.18929459,5.37851159,4.9324203,4.94384677,5.09438621,5.36916092]",0.01169427,P2TR,GB,AS45117
2026-08-11T12:53:06,10.200.0.6,172.22.119.180,1080,443,tx_e1b657c8636575e814984ae2,"[""bc1qanom05"",""bc1qanom09"",""bc1qanom01"",""bc1qanom03"",""bc1qanom01"",""bc1qanom07""]","[""bc1qanom07"",""bc1qanom03"",""bc1qanom02"",""bc1qanom09"",""bc1qanom12"",""bc1qanom02"",""bc1qanom04"",""bc1qanom02"",""bc1qanom02"",""bc1qanom01"",""bc1qanom03""]","[1.28737214,1.27979356,1.2325165,1.22090795,1.29760773,1.24851071]","[0.69090163,0.69366918,0.69243795,0.69779432,0.67318686,0.6687305,0.69094465,0.65858305,0.67807036,0.67203191,0.65352174]",0.02597423,P2PKH,GB,AS13335
2026-08-17T16:17:18,10.200.0.4,172.18.86.237,4145,18333,tx_44ea2656a815006d8c32c888,"[""bc1qanom09"",""bc1qanom01"",""bc1qanom10"",""bc1qanom10"",""bc1qanom01"",""bc1qanom07"",""bc1qanom09"",""bc1qanom10"",""bc1qanom03""]","[""bc1qanom02"",""bc1qanom11"",""bc1qanom08"",""bc1qanom06"",""bc1qanom01"",""bc1qanom09"",""bc1qanom02"",""bc1qanom10""]","[0.89592519,0.87515414,0.93787715,0.87432055,0.87888751,0.85999525,0.85343434,0.87063368,0.86496616]","[0.98052047,1.06438025,0.97560854,0.99414543,1.0521038,0.97835036,1.03961146,1.01568345]",0.03660019,P2SH,GB,AS7922
2026-08-22T01:57:08,10.200.0.1,172.19.52.125,4145,80,tx_4a5c0cc53226f66dc249f12c,"[""bc1qanom07"",""bc1qanom11"",""bc1qanom08"",""bc1qanom08"",""bc1qanom04"",""bc1qanom10"",""bc1qanom10"",""bc1qanom02"",""bc1qanom01"",""bc1qanom05"",""bc1qanom01""]","[""bc1qanom06"",""bc1qanom05"",""bc1qanom12"",""bc1qanom02"",""bc1qanom04"",""bc1qanom08"",""bc1qanom04"",""bc1qanom02"",""bc1qanom10"",""bc1qanom06"",""bc1qanom07"",""bc1qanom12""]","[0.00225987,0.00219286,0.00217557,0.00218498,0.00219557,0.00214408,0.00230596,0.00208779,0.00219429,0.00230872,0.00228975]","[1.806e-05,1.639e-05,1.807e-05,1.827e-05,1.776e-05,1.773e-05,1.777e-05,1.68e-05,1.682e-05,1.678e-05,1.741e-05,1.696e-05]",0.02388739,P2WPKH,RU,AS13335
2026-08-08T02:49:31,10.200.0.7,172.24.172.148,9150,443,tx_ed6bab745abb99937ae371a9,"[""bc1qanom01"",""bc1qanom10"",""bc1qanom11"",""bc1qanom08"",""bc1qanom01"",""bc1qanom12"",""bc1qanom12"",""bc1qanom08"",""bc1qanom05"",""bc1qanom06"",""bc1qanom08""]","[""bc1qanom03"",""bc1qanom06"",""bc1qanom05"",""bc1qanom08"",""bc1qanom09"",""bc1qanom08"",""bc1qanom12"",""bc1qanom12"",""bc1qanom07"",""bc1qanom08"",""bc1qanom11"",""bc1qanom05"",""bc1qanom07"",""bc1qanom04""]","[0.56204476,0.602247,0.58107013,0.54956242,0.58476901,0.60225441,0.58560779,0.59383261,0.56864169,0.5894781,0.54265008]","[0.43158422,0.43686332,0.46061971,0.44730938,0.42854705,0.42808161,0.45257687,0.42550887,0.42360985,0.44817847,0.45572211,0.46087993,0.42265174,0.41878109]",0.06950496,P2PKH,RU,AS3320
